,adcimage,t2image,t2label
0,data/Prostate/decathalon_prostate/prostate_02/adcimage/adcimage.nii,data/Prostate/decathalon_prostate/prostate_02/t2image/t2image.nii,data/Prostate/decathalon_prostate/prostate_02/t2labels/t2label.nii
1,data/Prostate/decathalon_prostate/prostate_29/adcimage/adcimage.nii,data/Prostate/decathalon_prostate/prostate_29/t2image/t2image.nii,data/Prostate/decathalon_prostate/prostate_29/t2labels/t2label.nii
2,data/Prostate/decathalon_prostate/prostate_16/adcimage/adcimage.nii,data/Prostate/decathalon_prostate/prostate_16/t2image/t2image.nii,data/Prostate/decathalon_prostate/prostate_16/t2labels/t2label.nii
3,data/Prostate/decathalon_prostate/prostate_24/adcimage/adcimage.nii,data/Prostate/decathalon_prostate/prostate_24/t2image/t2image.nii,data/Prostate/decathalon_prostate/prostate_24/t2labels/t2label.nii
4,data/Prostate/decathalon_prostate/prostate_37/adcimage/adcimage.nii,data/Prostate/decathalon_prostate/prostate_37/t2image/t2image.nii,data/Prostate/decathalon_prostate/prostate_37/t2labels/t2label.nii
5,data/Prostate/decathalon_prostate/prostate_40/adcimage/adcimage.nii,data/Prostate/decathalon_prostate/prostate_40/t2image/t2image.nii,data/Prostate/decathalon_prostate/prostate_40/t2labels/t2label.nii
6,data/Prostate/decathalon_prostate/prostate_44/adcimage/adcimage.nii,data/Prostate/decathalon_prostate/prostate_44/t2image/t2image.nii,data/Prostate/decathalon_prostate/prostate_44/t2labels/t2label.nii
7,data/Prostate/decathalon_prostate/prostate_39/adcimage/adcimage.nii,data/Prostate/decathalon_prostate/prostate_39/t2image/t2image.nii,data/Prostate/decathalon_prostate/prostate_39/t2labels/t2label.nii
8,data/Prostate/decathalon_prostate/prostate_01/adcimage/adcimage.nii,data/Prostate/decathalon_prostate/prostate_01/t2image/t2image.nii,data/Prostate/decathalon_prostate/prostate_01/t2labels/t2label.nii
9,data/Prostate/decathalon_prostate/prostate_20/adcimage/adcimage.nii,data/Prostate/decathalon_prostate/prostate_20/t2image/t2image.nii,data/Prostate/decathalon_prostate/prostate_20/t2labels/t2label.nii
10,data/Prostate/decathalon_prostate/prostate_18/adcimage/adcimage.nii,data/Prostate/decathalon_prostate/prostate_18/t2image/t2image.nii,data/Prostate/decathalon_prostate/prostate_18/t2labels/t2label.nii
11,data/Prostate/decathalon_prostate/prostate_06/adcimage/adcimage.nii,data/Prostate/decathalon_prostate/prostate_06/t2image/t2image.nii,data/Prostate/decathalon_prostate/prostate_06/t2labels/t2label.nii
12,data/Prostate/decathalon_prostate/prostate_43/adcimage/adcimage.nii,data/Prostate/decathalon_prostate/prostate_43/t2image/t2image.nii,data/Prostate/decathalon_prostate/prostate_43/t2labels/t2label.nii
13,data/Prostate/decathalon_prostate/prostate_34/adcimage/adcimage.nii,data/Prostate/decathalon_prostate/prostate_34/t2image/t2image.nii,data/Prostate/decathalon_prostate/prostate_34/t2labels/t2label.nii
14,data/Prostate/decathalon_prostate/prostate_04/adcimage/adcimage.nii,data/Prostate/decathalon_prostate/prostate_04/t2image/t2image.nii,data/Prostate/decathalon_prostate/prostate_04/t2labels/t2label.nii
15,data/Prostate/decathalon_prostate/prostate_41/adcimage/adcimage.nii,data/Prostate/decathalon_prostate/prostate_41/t2image/t2image.nii,data/Prostate/decathalon_prostate/prostate_41/t2labels/t2label.nii
16,data/Prostate/decathalon_prostate/prostate_17/adcimage/adcimage.nii,data/Prostate/decathalon_prostate/prostate_17/t2image/t2image.nii,data/Prostate/decathalon_prostate/prostate_17/t2labels/t2label.nii
17,data/Prostate/decathalon_prostate/prostate_25/adcimage/adcimage.nii,data/Prostate/decathalon_prostate/prostate_25/t2image/t2image.nii,data/Prostate/decathalon_prostate/prostate_25/t2labels/t2label.nii
18,data/Prostate/decathalon_prostate/prostate_28/adcimage/adcimage.nii,data/Prostate/decathalon_prostate/prostate_28/t2image/t2image.nii,data/Prostate/decathalon_prostate/prostate_28/t2labels/t2label.nii
19,data/Prostate/decathalon_prostate/prostate_31/adcimage/adcimage.nii,data/Prostate/decathalon_prostate/prostate_31/t2image/t2image.nii,data/Prostate/decathalon_prostate/prostate_31/t2labels/t2label.nii
20,data/Prostate/decathalon_prostate/prostate_46/adcimage/adcimage.nii,data/Prostate/decathalon_prostate/prostate_46/t2image/t2image.nii,data/Prostate/decathalon_prostate/prostate_46/t2labels/t2label.nii
21,data/Prostate/decathalon_prostate/prostate_35/adcimage/adcimage.nii,data/Prostate/decathalon_prostate/prostate_35/t2image/t2image.nii,data/Prostate/decathalon_prostate/prostate_35/t2labels/t2label.nii
22,data/Prostate/decathalon_prostate/prostate_42/adcimage/adcimage.nii,data/Prostate/decathalon_prostate/prostate_42/t2image/t2image.nii,data/Prostate/decathalon_prostate/prostate_42/t2labels/t2label.nii
23,data/Prostate/decathalon_prostate/prostate_14/adcimage/adcimage.nii,data/Prostate/decathalon_prostate/prostate_14/t2image/t2image.nii,data/Prostate/decathalon_prostate/prostate_14/t2labels/t2label.nii
24,data/Prostate/decathalon_prostate/prostate_21/adcimage/adcimage.nii,data/Prostate/decathalon_prostate/prostate_21/t2image/t2image.nii,data/Prostate/decathalon_prostate/prostate_21/t2labels/t2label.nii
25,data/Prostate/decathalon_prostate/prostate_13/adcimage/adcimage.nii,data/Prostate/decathalon_prostate/prostate_13/t2image/t2image.nii,data/Prostate/decathalon_prostate/prostate_13/t2labels/t2label.nii
